2025-01-01 16:24:35,445 - WARNING - Not Found: /favicon.ico
2025-01-01 16:39:21,810 - WARNING - Not Found: /model/create/
2025-01-01 19:32:57,509 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:33:01,673 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:33:19,686 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:33:23,765 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:33:27,377 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:33:39,290 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:33:44,407 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:33:50,552 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:33:54,629 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:34:08,293 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:34:14,580 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:34:36,747 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:34:47,177 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:34:51,253 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:45:06,789 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:45:58,991 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:46:03,159 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:46:12,649 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:46:16,798 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 19:46:20,871 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 20:06:59,727 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 20:07:44,279 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 20:08:06,515 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\views\create_model.py changed, reloading.
2025-01-01 20:08:21,415 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\urls.py changed, reloading.
2025-01-01 20:08:27,523 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\urls.py changed, reloading.
2025-01-01 20:10:46,649 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\urls.py changed, reloading.
2025-01-01 20:10:51,771 - INFO - C:\Users\husey\Desktop\Projects\TextProcessorAndClassifierProject\TextProcessorAndClassifierApp\urls.py changed, reloading.
